Feature / scenario,Official doc/source URL,Official supported platform and eligibility,"Preconditions: account plan, workspace policy, region, plugin install, browser/profile, GitHub/gh, network mode","Actual macOS reference status and evidence, or docs-only oracle",Linux wrapper status and evidence,Parity verdict,Risk/gate,Owner,Cleanup/rollback evidence
Built-in Git diff/review/stage/unstage/revert,https://developers.openai.com/codex/app/review,macOS/Windows,Disposable Git repo only,docs-only oracle; macOS evidence pending,"ENV_BLOCKED: project picker failed/not exercisable, so disposable repo review UI could not be reached safely",ENTITLEMENT/ENV BLOCKED,Repo mutation only inside disposable fixture,Lane B,Delete disposable repo/worktree; explicit G002 disposition in remaining/blocker-dispositions.json
Local commit from app,https://developers.openai.com/codex/app/review,macOS/Windows,Disposable Git repo with local identity fixture if needed,docs-only oracle; macOS evidence pending,"ENV_BLOCKED: project picker failed/not exercisable, so app local commit UI could not be reached safely",ENTITLEMENT/ENV BLOCKED,No real remotes; no production commit,Lane B,Delete disposable repo; explicit G002 disposition in remaining/blocker-dispositions.json
Push / pull request creation,https://developers.openai.com/codex/app/review,macOS/Windows; depends on remote/GitHub access,Explicit gate; disposable remote only,docs-only oracle; macOS evidence pending,GATED: production remote push/PR denied by team brief,GATED,Production remote push/PR denied,Lane B/C,No cleanup because not run
Worktree mode,https://developers.openai.com/codex/app/worktrees,macOS/Windows; Git repository required,Disposable Git repo; local worktree only,docs-only oracle; macOS evidence pending,"ENV_BLOCKED: project picker failed/not exercisable, so worktree mode could not be reached safely",ENTITLEMENT/ENV BLOCKED,Disposable repo only,Lane B,Remove worktrees with git worktree remove or delete fixture; explicit G002 disposition in remaining/blocker-dispositions.json
Automations / thread automations,https://developers.openai.com/codex/app/automations,macOS/Windows; may use background worktrees,Harmless schedule; manual first-run; cleanup proof,docs-only oracle; macOS evidence pending,"Automations page opens and shows Create your first automation, Daily brief, Weekly review, Project monitor; no automation created",PARTIAL,Recurring task cleanup; no long-running side effects,Lane C,Delete/disable automation if created; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Skills discovery/invocation,https://developers.openai.com/codex/app/features#skills-support,macOS/Windows; same skills as CLI/IDE,Harmless synthetic skill or read-only discovery,docs-only oracle; macOS evidence pending,Add files menu exposes Agents list and Plugins page exposes Skills tab/catalog; no skill invoked,PARTIAL,No product source edits,Lane C,Remove synthetic skill if created; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
MCP settings / stdio local mock,https://developers.openai.com/codex/app/features#mcp-support,macOS/Windows; app/CLI/IDE share MCP settings,Local mock server only; no secrets,docs-only oracle; macOS evidence pending,GATED_NOT_RUN: Settings/MCP UI not reachable via CDP; no manual config mutation performed,GATED,Secrets/OAuth denied unless gated,Lane C,Remove mock config; explicit G002 disposition in remaining/blocker-dispositions.json
Plugins,https://developers.openai.com/codex/plugins,Eligibility/config dependent,No install/update without gate,docs-only oracle; macOS evidence pending,"Plugins page opens and catalog loads with search, Added/Manage, OpenAI/workspace/personal sections",PASS,Plugin install/update gate,Lane C,No cleanup because not run; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Sites plugin,https://developers.openai.com/codex/sites,Entitlement dependent,Disposable deployment and approval required,docs-only oracle; macOS evidence pending,UNTESTED in Linux wrapper seed,GATED,Entitlement/deployment/cost gate,Lane C,Delete disposable site if approved/run
IDE Extension sync,https://developers.openai.com/codex/app/features#sync-with-the-ide-extension,macOS/Windows plus supported IDE extension,Approved IDE fixture only,docs-only oracle; macOS evidence pending,UNTESTED in Linux wrapper seed,UNTESTED,No helper install; no private IDE workspace,Lane C,Close fixture/remove settings
Web search,https://developers.openai.com/codex/app/features#web-search,macOS/Windows; first-party web search tool; sandbox policy affects live/cache,Non-sensitive current-info prompt,docs-only oracle; macOS evidence pending,PASS: Web search returned WEB_SEARCH_STATUS available and cited Codex app - OpenAI Developers; screenshot final-ui-state.png captured result.,PASS,Network policy and no sensitive queries,Lane C,Transcript only; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json; screenshot evidence in remaining/final-ui-state.png
Image input,https://developers.openai.com/codex/app/features#image-input,macOS/Windows,Synthetic image only,docs-only oracle; macOS evidence pending,Add files menu exposes Files and folders; no native file picker/input exercised,PARTIAL,No private screenshots,Lane C,Delete synthetic image; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Image generation/editing,https://developers.openai.com/codex/app/features#image-generation,Eligible account; usage limits/cost implications,Entitlement/cost acceptance; synthetic prompt,docs-only oracle; macOS evidence pending,Not run due entitlement/cost gate,GATED,Entitlement/cost gate,Lane C,Delete generated images if run; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Memories,https://developers.openai.com/codex/app/features#memories,Availability/entitlement dependent,Synthetic add/use/remove only,docs-only oracle; macOS evidence pending,GATED_NOT_RUN: synthetic memory would mutate persistent account memory and needs cleanup proof,GATED,Must remove synthetic memory,Lane C,Cleanup proof required; explicit G002 disposition in remaining/blocker-dispositions.json
Notifications,https://developers.openai.com/codex/app/features#notifications,macOS/Windows desktop notification support,Desktop/session notification permission; app backgrounded,docs-only oracle; macOS evidence pending,GATED_NOT_RUN: desktop notification permission/background behavior not mutated,GATED,Desktop permission/session gate,Lane C,Restore notification setting; explicit G002 disposition in remaining/blocker-dispositions.json
Prevent sleep while running,https://developers.openai.com/codex/app/features#keep-your-computer-awake,macOS/Windows settings feature,Desktop/session inhibit evidence only; no system service mutation,docs-only oracle; macOS evidence pending,GATED_NOT_RUN: sleep inhibitor/system behavior not toggled,GATED,D-Bus/logind evidence; no systemctl,Lane C,Restore setting if changed; explicit G002 disposition in remaining/blocker-dispositions.json
In-app browser preview/comments,https://developers.openai.com/codex/app/browser,macOS/Windows; local/public non-auth pages; no auth/cookies/extensions/profile,Local or public non-auth page,docs-only oracle; macOS evidence pending,Browser Use pass on public page; comments/annotation not exercised,PARTIAL,Non-auth pages only,Lane B/C,Close browser tab/session; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Browser Use direct operation,https://developers.openai.com/codex/app/browser#browser-use,macOS/Windows; local/file-backed pages; website allow/block settings,example.com/local fixture; no signed-in sites,docs-only oracle; macOS evidence pending,Seed PASS: Browser Use returned Example Domain from https://example.com,PASS,No signed-in/sensitive websites,Lane B/C,Transcript only; safe evidence captured in lane B/C artifacts
Developer Mode CDP inspection,https://developers.openai.com/codex/app/browser,macOS/Windows docs; read-only inspection possible when enabled,Explicit approval gate,docs-only oracle; macOS evidence pending,UNTESTED in Linux wrapper seed,GATED,CDP/developer-mode gate,Lane C,Disable developer mode if enabled
Chrome extension native-host live connection,https://developers.openai.com/codex/app/chrome-extension,macOS/Windows Chrome extension; signed-in browser tasks with website approvals,Disposable Chrome profile only; no personal profile,docs-only oracle; macOS evidence pending,PARTIAL_GATED: Chrome installed/running; disposable HOME lacks native-host manifest; no disposable extension Connected proof,PARTIAL,Personal browser profile denied; disposable profile only,Lane C,Delete disposable profile; explicit G002 disposition in remaining/blocker-dispositions.json
Computer Use,https://developers.openai.com/codex/app/computer-use,Docs describe macOS/Windows app GUI operation; system/app state risk,No helper install; inspect-only on Linux,docs-only oracle; macOS evidence pending,Disabled/not exposed in app QA; official docs macOS/Windows only,NOT SUPPORTED,Computer Use helper install denied,Lane C,No cleanup because not enabled; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Appshots,https://developers.openai.com/codex/appshots,Mac app screenshot/text feature per app overview link,Supported Mac oracle needed,docs-only oracle; macOS evidence pending,ENV_BLOCKED_PLATFORM: Linux UI did not expose successful Appshots; prior GNOME/Wayland screenshot capture blocked,ENTITLEMENT/ENV BLOCKED,Screenshot/privacy gate,Lane C,No cleanup unless synthetic appshot created; explicit G002 disposition in remaining/blocker-dispositions.json
Remote connections / mobile steering,https://developers.openai.com/codex/remote-connections,Account/device gated,Explicit account/device approval,docs-only oracle; macOS evidence pending,Codex mobile page opens but copy says Connect your phone to this Mac on Linux; no device connected,PARTIAL,Remote-control/account/device gate,Lane C,Disconnect device/session if run; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Voice dictation,https://developers.openai.com/codex/app/features#voice-dictation,macOS/Windows; microphone/OS permission dependent,Mic permission; non-sensitive phrase,docs-only oracle; macOS evidence pending,Dictate button present; microphone permission/use not exercised,PARTIAL,Microphone permission/privacy gate,Lane C,Revoke permission if changed; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Floating pop-out window / stay on top,https://developers.openai.com/codex/app/features#floating-pop-out-window,macOS/Windows window manager feature,Active thread; no code mutation,docs-only oracle; macOS evidence pending,UNTESTED_NO_VISIBLE_CONTROL: no pop-out control visible in CDP-observed UI,UNTESTED,Window-manager behavior; screenshot optional,Lane B,Close pop-out; explicit G002 disposition in remaining/blocker-dispositions.json
Webview loopback binding and app-server transport,https://developers.openai.com/codex/app,Implementation/security row for wrapper,Process/listener evidence,docs-only oracle; macOS evidence pending,Seed PASS: webview server bound to 127.0.0.1:5175; app-server handshake succeeded,PASS,Loopback-only must remain true,Lane C,Terminate app after probe; safe evidence captured in lane B/C artifacts
Electron sandbox posture,https://developers.openai.com/codex/app,Wrapper security row; official platform app packaging differs,Process evidence,docs-only oracle; macOS evidence pending,Seed WRAPPER CAVEAT: Electron launches with --no-sandbox in process evidence,WRAPPER DEFECT,Security caveat; no runtime mitigation in QA,Lane C,Report-only
Native updater/service/package surfaces,https://developers.openai.com/codex/app,Official macOS/Windows installers; Linux wrapper native packaging out of scope,No native install/update/service/package commands,docs-only oracle; macOS evidence pending,Seed GATED/DENIED: make bootstrap-native/install-native/setup-native/update-native/package/install/deb/rpm/pacman/appimage and sudo/pkexec/package-manager/systemctl not run,GATED,Global denylist,Lane A/C,No cleanup because not run
